B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A21185,S116919,7538,"An ordinary lecture. Preached at the Blacke-Friers, by M. Egerton. And taken as it was vttered by characterie. Macte: officium, officii, fructus","Egerton, Stephen, 1555?-1621?",Printed by Iohn Windet for Iohn Dalderne and are to be sold in Canon lane at the signe of the white horse,At London,"Sermons, English; 16th century.",1589
A20154,S109561,6589,"The heauenly banquet: or The doctrine of the Lords Supper set forth in seuen sermons. With two prayers before and after the receiuing. And a iustification of kneeling in the act of receiuing. By Iohn Denison, Doctor of Diuinity.","Denison, John, d. 1629.",Printed by E lizabeth A llde for Robert Allot and are to bee sold by W Brooks within the Turning Stile in Holborne,London,"Posture in worship; 17th century.; Sermons, English; Lord's Supper; Early works to 1800.",1631
A20605,S109795,7004,"A sermon preached in Italian, by the most Reuerend father, Marc' Antony de Dominis, Archb. of Spalato, the first Sunday in Aduent, anno 1617. In the Mercers Chappel in London, to the Italians in that city, and many other honorable auditors then assembled. Vpon the 12. verse of the 13. chapter to the Romanes, being part of the Epistle for that day. First published in Italian by the author, and thereout translated into English","De Dominis, Marco Antonio, 1560-1624.",Printed by John Bill,London,"17th century.; Sermons, Italian",1617
A20037,S118248,6475,"That the pope is that Antichrist: and An answer to the obiections of sectaries, which condemne this Church of England Two notably learned and profitable treatises or sermons vpon the 19. verse of the 19. chapter of the Reuelation: the first whereof was preached at Paules Crosse in Easter terme last, the other purposed also to haue bene there preached. By Lawrence Deios Bachelor in Diuinitie, and minister of Gods holy word.","Deios, Laurence, d. 1618.",By George Bishop and Ralph Newberie,Imprinted at London,Church of England; Antichrist; Doctrines; Catholic Church; Controversial literature; Early works to 1800.,1590
A26336,R32693,A484,"A sermon preached at White-hall on Sunday, the 17th of February, 169 4/5 before the right honourable the lord chamberlain, ladies of the bedchambers, and others of the houshold to our late gracious Queen Mary, of blessed memory / by J. Adams ...","Adams, John, 1662-1720.",Printed by Benj Motts,London,"17th century.; Sermons, English",1695
A28823,R17491,B3762,"The triumph of faith over death, or, The just man's memoriall compris'd in a panegyrick and sermon, at the funerall of the religious, most learned Dr. Combar, late master of Trinity Colledge in Cambridge, and deane of Carlile / delivered in Trinity Colledge chappel, by R.B. ... the 29. of March, 1653.","R. B. (Robert Boreman), d. 1675.",Printed by J G for R Royston,London,"Comber, Thomas, 1575-1654.; Church of England; Sermons.; 17th century.; Funeral sermons.; Sermons, English",1654
A29362,R3795,B4444,"A sermon preached before the Right Honourable the Lord Mayor, aldermen, and citizens of London, at the Church of S. Mary le Bow, the fifth of November, 1684 by Francis Bridge ...","Bridge, Francis, d. 1688.",Printed for Walter Kettilby,London,Sermons.; Loyalty,1685
A28628,R4320,B3536,"Joseph's entertainment of his bretheren in a sermon preached at the Herefordshire feast at St Mary-le-Bow, June the 25th. 1684 / by William Bolton.","Bolton, William, 1650 or 51-1691.",Printed by Miles Flesher for Charles Harper,London,"(Son of Jacob); O.T.; Joseph; Sermons.; Bible.; Genesis XLIII, 34",1684
A28624,R4171,B3527,"A tossed ship making to safe harbor, or, A word in season to a sinking kingdome wherein Englands case and cure, her burthens and comforts, her pressures and duties are opened and applyed : in diverse sermons preached upon the publick dayes of humiliation, out of that propheticall history, Matth. 14, 22 to 28 / by Samuel Bolton ...","Bolton, Samuel, 1606-1654.",Printed by L N for Philemon Stephens,London,"Matthew XIV, 22-28; Sermons.; Christian life; Bible.; 17th century.; Providence and government of God; Sermons, English; N.T.",1644
A29213,R11261,B4242,"The necessity of a present repentance in a sermon preach'd before the Right Honourable the Lord Mayor and Court of Aldermen at Guild-Hall Chapel, March 10th, 1694/5 / by William Bramston ...","Bramston, William, d. 1735.",Printed by John Leake for William Keblewhite,London,"Bible.; Proverbs XXVII, 1; Sermons.; O.T.",1695
A27625,R18401,B2175,"A sermon of the true, spiritual transubstantiation, oppos'd to the gross, carnal, imaginary transubstantiation wherein the true meaning of the Lord's Supper is opened, in order to a constant, habitual and actual preparation to it / by Beverley.","Beverley, Thomas.",Printed for the author,London,"Lord's Supper; Sermons.; Sermons, English.",1687
A29270,R9009,B431,"A sermon preacht in Madrid, July 4, 1666. s.n. occasioned by the sad and much lamented death of his late Excellency Sir Richard Fanshaw Knight and Baronet ... / by Henry Bagshaw.","Bagshaw, Henry, 1632-1709.",Printed for G Beadle and T Collins and are to be sold at their shop,London,"Sir, 1608-1666.; Sermons.; Bible.; 17th century.; Hebrews XII, 2; Funeral sermons.; Sermons, English; Fanshawe, Richard,; N.T.",1667
A20642,S114207,7042,"Foure sermons vpon speciall occasions. (Viz.) 1. A sermon preached at Pauls Crosse. 2. To the Honorable, the Virginia Company. 3. At the consecration of Lincolnes Inne Chappell. 4. The first sermon preached to K. Charles at St. Iames, 1625. By Iohn: Donne. Deane of Saint Pauls, London","Donne, John, 1572-1631. First sermon preached to King Charles, at Saint James. aut; Donne, John, 1572-1631. Sermon upon the xx. verse of the v. chapter of the booke of Judges. aut; Donne, John, 1572-1631.; Donne, John, 1572-1631. Sermon upon the viii. verse of the I. chapter of the Acts of the Apostles. aut; Donne, John, 1572-1631. Encaenia. aut",Printed for Thomas Iones and are to be sold at his shop in the Strand at the Blacke Rauen neere Saint Clements Church,London,No Keywords,1625
A20588,nan,nan,"A sermon preached in the cathedrall church of Yorke against popish transubstantiation, and their communion vnder one kinde, the first Sunday in Lent, Ann. Dom. 1607. By Thomas Dodson, Maister of artes.","Dodson, Thomas, Master of Arts.",By H L ownes for Mathew Lownes and are to be sould at his shioppe in Paules Churchyard at the signe of the Bishoppes head,Imprinted at London,"17th century.; Sermons, English",1608
A29110,R20241,B4124,"The eye of faith, looking at eterntty [sic] being the sum and substance of a sermon, preached in the Cathedral Church of York, the sixth Sunday after Trinity, July the second, 1665 / by Christopher Bradley ...","Bradley, Christopher, d. 1678.",Printed by Stephen Bulkley and are to be sold by Francis Manbarne,York,Sermons.; Eternity,1666
A28276,R5712,B3051,"A sermon preach'd at the Chappel of Brentwood in Essex, October the 7th, 1693, at the visitation of the Right Reverend Father in God, Henry, Lord Bishop of London ... by Ofsp. Blackall ...","Blackall, Offspring, 1654-1716.",Printed by Will Rogers,London,"Sermons.; Bible.; 17th century.; Sermons, English; Visitation sermons.; John VI, 66-68; N.T.",1694
A20980,S119403,7354,"Cæsars penny, or A sermon of obedience proving by the practise of all ages, that all persons ought to be subiect to the King, as to the superiour. Preached at St Maries in Oxford at the Assises the 24 of Iuly 1610. By Iohn Dunster Master of Arts and Fellow of Magdal. Colledge.","Dunster, John.",Printed by Ioseph Barnes,At Oxford,"17th century.; Sermons, English",1610
A29102,R25291,B4115,"The imperfect promulgation of the Gospel consider'd a sermon preach'd in the Church of St. Mary le Bow, January 7, 1699/1700 : being an appendix to the lectures of the last year appointed by the Honourable Robert Boyle, Esq. / by Samuel Bradford.","Bradford, Samuel, 1652-1731.",Printed for Tho Parkhurst,London,"Sermons.; Bible.; 17th century.; John III, 16-17; Sermons, English; N.T.",1700
A21064,S111984,7432,A sermon preached at Paules Crosse the 19. of Iuli 1579 setting forth the excellencye of Gods heauenlye worde: The exceeding mercye of Christ our Sauior: the state of this world: A profe of the true Church: A detection of the false Church: or rather malignant rable: A confutation of sundry hæresies: and other thinges necessary to the vnskilfull to be knowen. By Iohn Dyos. Seene and allowed.,"Dyos, John.",Printed by Iohn Daye dwelling ouer Aldersgate,At London,"Sermons, English; 16th century.",1579
A29925,R2801,B5231,"Vlastēma ex hypsous, or, The best vvisdome propounded to the gentry of Suffolk in a sermon at Ipswich : prepared for the 9th of April, 1660, the day of election of Knights of the shire for the afore-said county, but preached the morning after / by Benjamin Bruning ...","Bruning, Benjamin, 1623?-1688.",Printed by D Maxwell for W Weekly of Ipwich nad are to be sold by John Rothwell,London,"Bible.; James III, 17; N.T.; Sermons.",1660
A27534,R9943,B2060,"A sermon preach'd before the King and Queen in Their Majesties chappel at St. James, upon the Annunciation of our Blessed Lady, March 25, 1686 by Jo. Betham ...","Betham, John, d. 1709.",Printed by Henry Hills,London,"Great Britain; Church of England; Pamphlets.; Sermons.; 1660-1688; 17th century.; Politics and government; Sermons, English",1686
A29157,R19587,B4176,"A sermon preached at the funeral of Thomas Shadwell, Esq. late Poet-Laureat, and Historiographer-Royal, who was interred at Chelsea, November 24, 1692 by Nicholas Brady ...","Brady, Nicholas, 1659-1726.",Printed for James Knapton,Londoon sic,"Shadwell, Thomas, 1642?-1692.; Revelation XIV, 13; Sermons.; Bible.; 17th century.; Sermons, English; Funeral sermons.; N.T.",1693
A29614,R4264,B4841,"A sermon preach'd before the King and Queen at Hampton-Court, May the 12th, 1689 by Robert Brograve ...","Brograve, Robert, b. 1656 or 7.",Printed for William Rogers,London,"Bible.; Sermons.; N.T.; Matthew V, 16",1689
A28223,R18612,B2983,"Prosecution no persecution, or, The difference between suffering for disobedience and faction, and suffering for righteousness and Christ's sake truly discussed and stated in a sermon upon Phil. I. 29, preached at Bury St. Edmunds in Suffolk on the 22th of March, 1681, being the time of the general assizes there held / by Nath. Bisbie ...","Bisbie, Nathaniel, 1635-1695.",Printed for Walter Kettilby,London,"Freedom of religion; Great Britain; England; Sermons.; Dissenters, Religious; Church and state",1682
A25468,R10429,A3229,"The first dish at the Wil-shire feast, Novemb. 9, 1654, or, A sermon preached at Laurence Jury to those that there offered their peace-offerings, and went thence to dine at Merchant-Taylors-Hall by Samuel Annesley ...","Annesley, Samuel, 1620?-1696.",Printed by E T for Nathanael Webb and William Grantham,London,"Chronicles, 1st, XXII, 32; O.T.; Sermons.; Bible.; 17th century.; Sermons, English",1655
A29374,R27224,B4466A,"The sinfulnesse of sinne ; and, The fulnesse of Christ delivered in two sermons / by William Bridge.","Bridge, William, 1600?-1670.; Bridge, William, 1600?-1670. Fulnesse of Christ.",s n,London,"Sermons.; 17th century.; Jesus Christ; Sermons, English; Sin",1667
A29274,R22956,B432,"A sermon preached before the King at White-Hall, January XXX, 1675/6 by Henry Bagshaw ...","Bagshaw, Henry, 1632-1709.",Printed by William Godbid and are to be sold by Moses Pitt,London,"O.T.; Sermons.; Bible.; 17th century.; Psalms XXXVII, 37; Sermons, English",1676
A28856,R217243,B3803,"No home but heaven A sermon, preached at the funerals of the right worshipful the Lady Sybilla Anderson, in the Church of Broughton, in the county of Lincoln. Octob. 30. 1661. By Edward Boteler, sometimes fellow of St. Mary Magdalen Colledge in Cambridge, and now rector of Wintringham, in the county of Lincoln, and chaplain to His Majesty.","Boteler, Edward, d. 1670.",printed for G Bedel and T Collins at their shop next to the Middle Temple Gate,London,"Anderson, Sybilla, d. 1661; 17th century.; Funeral sermons; Early works to 1800.; Sermons, English",1664
A20637,S121697,7038,"LXXX sermons preached by that learned and reverend divine, Iohn Donne, Dr in Divinity, late Deane of the cathedrall church of S. Pauls London","Walton, Izaak, 1593-1683.; Merian, Matthaeus, 1593-1650, engraver.; Donne, John, 1604-1662.; Donne, John, 1572-1631.",Printed by Miles Flesher for Richard Royston in Ivie lane and Richard Marriot in S Dunstans Church yard in Fleetstreet,London,"17th century.; Sermons, English",1640
A26681,R4931,A959,"Truths manifest revived, or, A farther discovery of Mr. Stucley and his churches causeless excommunication of Mrs. Mary Allein wherein the former narrative and observations on Mr. Stucleys sermon are reprinted, and his late scandulous pamphlet, falsly intituled Manifest truth, answered and refuted / by Tobie Allein ...","Allein, Toby.",Printed by R D for Francis Eglesfield,London,"Mall, Thomas, b. 1629 or 30.; Allein, Marie.; Manifest truth.; Stuckley, Lewis, 1621 or 2-1687.",1659
